Year,State,Sex,Age,Uncontrolled_Direct Costs,Uncontrolled_Indirect Costs,Uncontrolled_QALYs_Lost
21,US,Male,50 to 54 years,540208763.221281,1333328440.03935,27783.3545268179
21,US,Male,55 to 59 years,524202318.082181,1293770657.19817,26959.4164174472
21,US,Male,60 to 64 years,445312077.28947,1099017536.8231,22901.4878199777
21,US,Male,65 to 69 years,369414947.861933,911665114.89036,18997.6791651604
21,US,Male,70 to 74 years,247058015.170807,0,12704.8952733779
21,US,Male,75 to 79 years,164108522.604975,0,8438.95254042842
21,US,Male,80 to 84 years,105118277.614448,0,5405.30418969117
21,US,Male,85 and over,91563779.6923089,0,4708.06541765011
21,US,Male,Total,6680298472.44228,14988997896.5029,343583.100001758
22,US,Female,15 to 19 years,702628389.821478,1734226949.06734,36137.0545767195
22,US,Female,20 to 24 years,727710685.788031,1796096243.36646,37426.6421391496
22,US,Female,25 to 29 years,738590048.604072,1822905457.48497,37985.6906505627
22,US,Female,30 to 34 years,696264754.983079,1718399544.93426,35808.3938286747
22,US,Female,35 to 39 years,656161481.8311,1619379716.67363,33745.3854978811
22,US,Female,40 to 44 years,613539069.036983,1514145362.41536,31552.8417835056
22,US,Female,45 to 49 years,640427675.273883,1580454376.61627,32935.0477530743
22,US,Female,50 to 54 years,658760417.165835,1625642380.31735,33877.160173617
22,US,Female,55 to 59 years,655414288.418179,1617328232.5174,33704.3566461819
22,US,Female,60 to 64 years,576780678.775147,1423235593.24816,29659.9771110403
22,US,Female,65 to 69 years,492507035.909316,1215238246.33281,25325.7230081633
22,US,Female,70 to 74 years,344228636.362728,0,17700.4802907468
22,US,Female,75 to 79 years,245554214.893826,0,12626.2221571096
22,US,Female,80 to 84 years,176053618.332625,0,9052.28690688762
22,US,Female,85 and over,206408417.700094,0,10612.5602149782
22,US,Female,Total,8131029412.89638,17667052102.974,418149.822738292
22,US,Male,15 to 19 years,643830433.519743,1589422737.09193,33117.1251039708
22,US,Male,20 to 24 years,670115476.049539,1654273196.38118,34468.6967569733
22,US,Male,25 to 29 years,663252936.501758,1637289702.85706,34115.1848313169
22,US,Male,30 to 34 years,611236228.351552,1508840286.02272,31439.1061009132
22,US,Male,35 to 39 years,564786815.124114,1394137514.4769,29049.4165019497
22,US,Male,40 to 44 years,519454035.549112,1282195031.28821,26717.2001262785
22,US,Male,45 to 49 years,537912181.765958,1327710054.54891,27665.9340959949
22,US,Male,50 to 54 years,542434391.733963,1338822368.12255,27897.8345249377
22,US,Male,55 to 59 years,526361996.917377,1299101569.2183,27070.5013187021
22,US,Male,60 to 64 years,447146730.124378,1103545961.78598,22995.8521498345
22,US,Male,65 to 69 years,370936907.300789,915421552.411773,19075.9579958089
22,US,Male,70 to 74 years,248075872.145416,0,12757.2450086237
22,US,Male,75 to 79 years,164784633.825168,0,8473.72469210717
22,US,Male,80 to 84 years,105551353.942231,0,5427.57637245412
22,US,Male,85 and over,91941011.3765053,0,4727.46465248751
22,US,Male,Total,6707821004.2276,15050759974.2055,344998.820232353
23,US,Female,15 to 19 years,705523255.75993,1741372952.39874,36285.9579946662
23,US,Female,20 to 24 years,730708888.091553,1803497166.18798,37580.8592128878
23,US,Female,25 to 29 years,741633070.274373,1830416830.92008,38142.2111767271
23,US,Female,30 to 34 years,699133390.761857,1725480278.37806,35955.9426662523
23,US,Female,35 to 39 years,658864886.952413,1626052417.11692,33884.4335868208
23,US,Female,40 to 44 years,616066865.009854,1520384424.23284,31682.8553855106
23,US,Female,45 to 49 years,643066249.257417,1586966646.84045,33070.7566401504
23,US,Female,50 to 54 years,661474518.547493,1632340827.54343,34016.7509330532
23,US,Female,55 to 59 years,658114599.855131,1623992400.22527,33843.2352670796
23,US,Female,60 to 64 years,579157015.775957,1429099986.87507,29782.1907978342
23,US,Female,65 to 69 years,494536162.47177,1220245576.81772,25430.0773602661
23,US,Female,70 to 74 years,345646854.575178,0,17773.4148632776
23,US,Female,75 to 79 years,246565894.076651,0,12678.2482836164
23,US,Female,80 to 84 years,176778955.159465,0,9089.58666781638
23,US,Female,85 and over,207258813.805569,0,10656.2889987805
23,US,Female,Total,8164529420.37461,17739849507.5366,419872.809834739
23,US,Male,15 to 19 years,646483027.209078,1595972074.90695,33253.5842830248
23,US,Male,20 to 24 years,672876359.374206,1661089736.1519,34610.7249567803
23,US,Male,25 to 29 years,665985540.884226,1644036241.1023,34255.7562550678
23,US,Male,30 to 34 years,613754518.918985,1515057522.55557,31568.650637775
23,US,Male,35 to 39 years,567113729.882348,1399882095.27001,29169.1142357011
23,US,Male,40 to 44 years,521594175.742501,1287478332.51509,26827.2878932039
23,US,Male,45 to 49 years,540128364.94993,1333180882.12712,27779.9310019698
23,US,Male,50 to 54 years,544669202.075869,1344338964.2282,28012.7868686572
23,US,Male,55 to 59 years,528530585.487439,1304454476.56852,27182.0445568346
23,US,Male,60 to 64 years,448988951.78626,1108093070.94382,23090.605826962
23,US,Male,65 to 69 years,372465145.54226,919193488.858004,19154.5598045819
23,US,Male,70 to 74 years,249097928.252529,0,12809.8107384083
23,US,Male,75 to 79 years,165463534.312011,0,8508.64031320687
23,US,Male,80 to 84 years,105986216.90323,0,5449.9404498311
23,US,Male,85 and over,92319799.8495216,0,4746.94392807772
23,US,Male,Total,6735457081.17039,15112776885.2275,346420.381750082
24,US,Female,15 to 19 years,708430064.799007,1748548441.03684,36435.4758000177
24,US,Female,20 to 24 years,733719459.80347,1810928626.07161,37735.7125980448
24,US,Female,25 to 29 years,744688646.241401,1837959197.06996,38299.3775179624
24,US,Female,30 to 34 years,702013861.372522,1732590227.59245,36104.1003005199
24,US,Female,35 to 39 years,661579445.213439,1632752649.67098,34024.0553972595
24,US,Female,40 to 44 years,618605089.614809,1526649228.85683,31813.405431645
24,US,Female,45 to 49 years,645715708.879572,1593505787.0657,33207.0254699402
24,US,Female,50 to 54 years,664199817.143739,1639066912.85907,34156.9176515005
24,US,Female,55 to 59 years,660826051.597047,1630684064.49211,33982.6869081308
24,US,Female,60 to 64 years,581543156.488503,1434988577.08464,29904.9087439512
24,US,Female,65 to 69 years,496573660.295703,1225273567.55428,25534.8622828389
24,US,Female,70 to 74 years,347070923.706653,0,17846.650366647
24,US,Female,75 to 79 years,247581746.97736,0,12730.4890717012
24,US,Female,80 to 84 years,177507284.38351,0,9127.04032868067
24,US,Female,85 and over,208112718.768437,0,10700.1982085789
24,US,Female,Total,8198167635.28517,17812947279.3545,421602.906077419
24,US,Male,15 to 19 years,649146564.393753,1602548436.16544,33390.6065015049
24,US,Male,20 to 24 years,675648632.928549,1667934401.79358,34753.3391735083
24,US,Male,25 to 29 years,668729418.806005,1650810616.29741,34396.9076843505
24,US,Male,30 to 34 years,616283198.838184,1521300411.99897,31698.7296820231
24,US,Male,35 to 39 years,569450244.440264,1405650378.67126,29289.305847873
24,US,Male,40 to 44 years,523743145.169355,1292783432.99675,26937.8298868695
24,US,Male,45 to 49 years,542353691.066329,1338674282.62436,27894.3982634269
24,US,Male,50 to 54 years,546913232.177487,1349878322.01042,28128.2135094949
24,US,Male,55 to 59 years,530708120.598738,1309829470.12329,27294.0480254828
24,US,Male,60 to 64 years,450838773.542081,1112658941.49069,23185.7504599628
24,US,Male,65 to 69 years,373999688.524138,922980988.262845,19233.4859258736
24,US,Male,70 to 74 years,250124200.838759,0,12862.5933551185
24,US,Male,75 to 79 years,166145235.587933,0,8543.69999647416
24,US,Male,80 to 84 years,106422873.877988,0,5472.39680148593
24,US,Male,85 and over,92700151.3901691,0,4766.50357510949
24,US,Male,Total,6763207172.17973,15175049682.435,347847.808688558
25,US,Female,15 to 19 years,711348866.277526,1755753536.80509,36585.6105311896
25,US,Female,20 to 24 years,736742452.023661,1818390749.18595,37891.2049236157
25,US,Female,25 to 29 years,747756828.368753,1845532683.98548,38457.1923425262
25,US,Female,30 to 34 years,704906215.706378,1739729513.28626,36252.8692467869
25,US,Female,35 to 39 years,664305202.68924,1639480528.08807,34164.2532995873
25,US,Female,40 to 44 years,621153785.933799,1532939882.6465,31944.4941382811
25,US,Female,45 to 49 years,648376099.110169,1600071908.30796,33343.8565559006
25,US,Female,50 to 54 years,666936359.211467,1645820750.45327,34297.6627085858
25,US,Female,55 to 59 years,663548689.665637,1637403338.92178,34122.7139368176
25,US,Female,60 to 64 years,583939141.412819,1440901463.84629,30028.1330327797
25,US,Female,65 to 69 years,498619563.9635,1230322303.90105,25640.0795548166
25,US,Female,70 to 74 years,348500867.927745,0,17920.1880441721
25,US,Female,75 to 79 years,248601790.837865,0,12782.9454082528
25,US,Female,80 to 84 years,178238618.366529,0,9164.64852532754
25,US,Female,85 and over,208970145.147646,0,10744.288589813
25,US,Female,Total,8231944626.64273,17886346659.4277,423340.140838453
25,US,Male,15 to 19 years,651821090.282742,1609151932.5195,33528.1940856696
25,US,Male,20 to 24 years,678432343.766955,1674807309.51284,34896.5418283463
25,US,Male,25 to 29 years,671484616.839314,1657612943.45492,34538.6415155146
25,US,Male,30 to 34 years,618822311.028598,1527569060.34142,31829.3454420241
25,US,Male,35 to 39 years,571796398.4555,1411442462.61084,29409.9933789671
25,US,Male,40 to 44 years,525900980.303948,1298110422.79913,27048.8279839503
25,US,Male,45 to 49 years,544588197.885257,1344190349.30269,28009.3378236757
25,US,Male,50 to 54 years,549166520.126211,1355440535.51074,28244.1164070427
25,US,Male,55 to 59 years,532894639.209896,1315226641.13302,27406.5136261188
25,US,Male,60 to 64 years,452696226.788148,1117243650.94002,23281.2876640941
25,US,Male,65 to 69 years,375540562.291505,926784114.924996,19312.7376995983
25,US,Male,70 to 74 years,251154707.322473,0,12915.5937548328
25,US,Male,75 to 79 years,166829749.223028,0,8578.9043371079
25,US,Male,80 to 84 years,106861332.27758,0,5494.94580865308
25,US,Male,85 and over,93082071.2949585,0,4786.14392563963
25,US,Male,Total,6791071747.09611,15237579423.0501,349281.125281235
26,US,Female,15 to 19 years,712319709.27387,1758149425.69878,36635.580269497
26,US,Female,20 to 24 years,737747937.049655,1820872085.61394,37942.9572376677
26,US,Female,25 to 29 years,748777329.237837,1848051028.73766,38509.7169928438
26,US,Female,30 to 34 years,705868219.793989,1742103453.89706,36302.3825439742
26,US,Female,35 to 39 years,665211780.96144,1641717645.17378,34210.9133147771
26,US,Female,40 to 44 years,622001458.906867,1535031593.00972,31988.1218094298
26,US,Female,45 to 49 years,649260903.362008,1602255188.74051,33389.3946125343
26,US,Female,50 to 54 years,667846471.636592,1648066419.54506,34344.5025476515
26,US,Female,55 to 59 years,664454158.107226,1639637485.69004,34169.3139649605
26,US,Female,60 to 64 years,584735956.224548,1442867460.12275,30069.140430585
26,US,Female,65 to 69 years,499299938.136932,1232000950.41246,25675.0937396336
26,US,Female,70 to 74 years,348976389.756477,0,17944.6593685757
26,US,Female,75 to 79 years,248940992.774093,0,12800.4010403396
26,US,Female,80 to 84 years,178481806.698221,0,9177.16291437877
26,US,Female,85 and over,209255249.588664,0,10758.9593945616
26,US,Female,Total,8243178301.50842,17910752736.6418,423918.30018141
26,US,Male,15 to 19 years,652710700.552337,1611347871.362,33573.9890491766
26,US,Male,20 to 24 years,679358256.386431,1677092818.3192,34944.2050915275
26,US,Male,25 to 29 years,672401029.644602,1659874959.83725,34585.8152353111
26,US,Male,30 to 34 years,619666835.430766,1529653588.31907,31872.8180526765
26,US,Male,35 to 39 years,572576728.525077,1413368496.81198,29450.1609640541
26,US,Male,40 to 44 years,526618660.758323,1299881779.67221,27085.7700903801
26,US,Male,45 to 49 years,545331362.621728,1346024556.86774,28047.5910495983
26,US,Male,50 to 54 years,549915914.049874,1357290064.35635,28282.6895331796
26,US,Male,55 to 59 years,533621809.664121,1317021266.55724,27443.9420764597
26,US,Male,60 to 64 years,453313944.447813,1118768101.45944,23313.0817128558
26,US,Male,65 to 69 years,376052984.299635,928048664.529693,19339.1115191978
26,US,Male,70 to 74 years,251497395.824675,0,12933.2311103931
26,US,Male,75 to 79 years,167057373.462488,0,8590.61928519096
26,US,Male,80 to 84 years,107007130.392187,0,5502.44925777892
26,US,Male,85 and over,93209063.3661076,0,4792.67924720342
26,US,Male,Total,6800339189.42616,15258372168.0922,349758.153274984
27,US,Female,15 to 19 years,713291945.243863,1760548752.43806,36685.621764579
27,US,Female,20 to 24 years,738754864.731063,1823356982.44464,37994.7838672111
27,US,Female,25 to 29 years,749799294.28181,1850572986.93912,38562.3170665499
27,US,Female,30 to 34 years,706831604.102225,1744480800.70242,36351.9669391855
27,US,Female,35 to 39 years,666119659.907311,1643957972.07912,34257.6403296692
27,US,Female,40 to 44 years,622850348.016184,1537126304.50599,32031.8121249163
27,US,Female,45 to 49 years,650146976.992934,1604441601.62532,33434.998055284
27,US,Female,50 to 54 years,668757889.717787,1650315310.53181,34391.409640565
27,US,Female,55 to 59 years,665360925.509568,1641874837.74891,34215.9809011016
27,US,Female,60 to 64 years,585533914.094649,1444836276.91092,30110.2067051076
27,US,Female,65 to 69 years,499981288.302801,1233682005.1284,25710.1581950777
27,US,Female,70 to 74 years,349452593.697733,0,17969.1658260437
27,US,Female,75 to 79 years,249280681.263282,0,12817.8817324672
27,US,Female,80 to 84 years,178725343.848851,0,9189.69526907533
27,US,Female,85 and over,209540763.52746,0,10773.6512596777
27,US,Female,Total,8254428093.23752,17935193831.0547,424497.289676511
27,US,Male,15 to 19 years,653601587.334313,1613546961.44073,33619.8497788682
27,US,Male,20 to 24 years,680285497.5856,1679381606.84885,34991.9368029102
27,US,Male,25 to 29 years,673318757.373756,1662140222.17972,34633.0566991791
27,US,Male,30 to 34 years,620512571.582821,1531741107.51309,31916.3530913176
27,US,Male,35 to 39 years,573358178.212776,1415297294.74732,29490.3862299477
27,US,Male,40 to 44 years,527337370.91798,1301655678.27891,27122.7652447785
27,US,Male,45 to 49 years,546075593.60221,1347861396.29793,28085.8992050871
27,US,Male,50 to 54 years,550666383.127858,1359142246.99426,28321.3180470296
27,US,Male,55 to 59 years,534350023.361201,1318818466.93735,27481.4242696161
27,US,Male,60 to 64 years,453932548.298186,1120294739.23146,23344.9214129905
27,US,Male,65 to 69 years,376566141.417798,929315028.44058,19365.5232065852
27,US,Male,70 to 74 years,251840575.925804,0,12950.8937891614
27,US,Male,75 to 79 years,167285324.226719,0,8602.35105278672
27,US,Male,80 to 84 years,107153137.645868,0,5509.9634795215
27,US,Male,85 and over,93336238.6766092,0,4799.22395104453
27,US,Male,Total,6809619929.2895,15279194748.9102,350235.866260824
28,US,Female,15 to 19 years,714265576.274405,1762951522.17419,36735.73512403
28,US,Female,20 to 24 years,739763237.229178,1825845445.01284,38046.6849236752
28,US,Female,25 to 29 years,750822725.694167,1853098564.00406,38614.9926767333
28,US,Female,30 to 34 years,707796370.698772,1746861558.80591,36401.6225390223
28,US,Female,35 to 39 years,667028841.475332,1646201513.61333,34304.4344447184
28,US,Female,40 to 44 years,623700455.083546,1539224021.63176,32075.5651786634
28,US,Female,45 to 49 years,651034321.90446,1606631151.65551,33480.6669821811
28,US,Female,50 to 54 years,669670615.410858,1652567428.24051,34438.3840881555
28,US,Female,55 to 59 years,666268993.81839,1644115399.90041,34262.7148455494
28,US,Female,60 to 64 years,586333016.735273,1446807918.43625,30151.3319446134
28,US,Female,65 to 69 years,500663615.922973,1235365471.65653,25745.2729965105
28,US,Female,70 to 74 years,349929480.773166,0,17993.7074692434
28,US,Female,75 to 79 years,249620857.034159,0,12835.3875222011
28,US,Female,80 to 84 years,178969230.340839,0,9202.24561634738
28,US,Female,85 and over,209826686.325707,0,10788.3642167287
28,US,Female,Total,8265694024.72123,17959669995.1313,425077.110568373
28,US,Male,15 to 19 years,654493752.541307,1615749207.47805,33665.776373366
28,US,Male,20 to 24 years,681214069.355083,1681673680.01664,35039.7370651364
28,US,Male,25 to 29 years,674237801.996898,1664408735.34652,34680.366008703
28,US,Male,30 to 34 years,621359521.30027,1533831622.40582,31959.9506515585
28,US,Male,35 to 39 years,574140749.196032,1417228860.55826,29530.6692631391
28,US,Male,40 to 44 years,528057112.32561,1303432122.42787,27159.813526688
28,US,Male,45 to 49 years,546820892.424104,1349700871.53686,28124.2623725044
28,US,Male,50 to 54 years,551417928.970874,1360997087.40088,28360.0020316402
28,US,Male,55 to 59 years,535079281.863997,1320618246.1315,27518.9602861672
28,US,Male,60 to 64 years,454552039.666818,1121823567.53325,23376.8068329438
28,US,Male,65 to 69 years,377080034.747185,930583209.375965,19391.9728185346
28,US,Male,70 to 74 years,252184248.362252,0,12968.5818291029
28,US,Male,75 to 79 years,167513602.004825,0,8614.09966511074
28,US,Male,80 to 84 years,107299354.351884,0,5517.48849003047
28,US,Male,85 and over,93463595.4080561,0,4805.77805122766
28,US,Male,Total,6818913984.51519,15300047210.2116,350714.265265853
29,US,Female,15 to 19 years,715240604.455641,1765357740.06642,36785.9204556122
29,US,Female,20 to 24 years,740773056.708662,1828337478.66165,38098.660518663
29,US,Female,25 to 29 years,751847625.671819,1855627765.3551,38667.7439366588
29,US,Female,30 to 34 years,708762521.654534,1749245733.31903,36451.3494502523
29,US,Female,35 to 39 years,667939327.617013,1648448274.59314,34351.295760536
29,US,Female,40 to 44 years,624551781.933588,1541324748.89051,32119.3810647403
29,US,Female,45 to 49 years,651922940.001057,1608823843.53149,33526.4014914095
29,US,Female,50 to 54 years,670584650.674657,1654822777.50569,34485.4259914095
29,US,Female,55 to 59 years,667178364.982447,1646359176.95402,34309.5158987685
29,US,Female,60 to 64 years,587133265.861237,1448782388.93075,30192.5162375052
29,US,Female,65 to 69 years,501346922.461589,1237051353.61011,25780.4382194109
29,US,Female,70 to 74 years,350407052.006019,0,18018.2843509239
29,US,Female,75 to 79 years,249961520.816581,0,12852.9184471658
29,US,Female,80 to 84 years,179213466.697414,0,9214.81398316698
29,US,Female,85 and over,210113019.34564,0,10803.0982973312
29,US,Female,Total,8276976120.8879,17984181281.4179,425657.764103554
29,US,Male,15 to 19 years,655387198.088935,1617954614.20368,33711.7689314451
29,US,Male,20 to 24 years,682143973.688597,1683969042.74509,35087.6059810078
29,US,Male,25 to 29 years,675158165.487221,1666680504.20938,34727.7432656255
29,US,Male,30 to 34 years,622207686.401447,1535925137.4866,32003.6108271562
29,US,Male,35 to 39 years,574924443.154892,1419163198.39264,29571.0101502541
29,US,Male,40 to 44 years,528777886.526311,1305211115.93369,27196.9150157753
29,US,Male,45 to 49 years,547567260.687295,1351542986.53431,28162.680634341
29,US,Male,50 to 54 years,552170553.192139,1362854589.55877,28398.7415701881
29,US,Male,55 to 59 years,535809586.737806,1322420608.00388,27556.5502068177
29,US,Male,60 to 64 years,455172419.883323,1123354589.64707,23408.7380412678
29,US,Male,65 to 69 years,377594665.390706,931853210.058388,19418.4604119084
29,US,Male,70 to 74 years,252528413.871558,0,12986.2952682422
29,US,Male,75 to 79 years,167742207.286669,0,8625.86514741785
29,US,Male,80 to 84 years,107445780.823983,0,5525.02430548065
29,US,Male,85 and over,93591134.7423238,0,4812.3415618394
29,US,Male,Total,6828221375.96321,15320929596.7735,351193.351318767
30,US,Female,15 to 19 years,716217031.880973,1767767411.28205,36836.1778672553
30,US,Female,20 to 24 years,741784325.337542,1830833088.74249,38150.7107639513
30,US,Female,25 to 29 years,752873996.415096,1858160596.4233,38720.5709597678
30,US,Female,30 to 34 years,709730059.043636,1751633329.36126,36501.1477798092
30,US,Female,35 to 39 years,668851120.286904,1650698259.84276,34398.2243778899
30,US,Female,40 to 44 years,625404330.393783,1543428490.79271,32163.2598773624
30,US,Female,45 to 49 years,652812833.190164,1611019681.96101,33572.2016813065
30,US,Female,50 to 54 years,671499997.471084,1657081363.16939,34532.5354514706
30,US,Female,55 to 59 years,668089040.953528,1648606173.7267,34356.38416138
30,US,Female,60 to 64 years,587934663.190027,1450759692.63302,30233.7596723238
30,US,Female,65 to 69 years,502031209.385068,1238739654.60804,25815.6539393757
30,US,Female,70 to 74 years,350885308.421129,0,18042.8965239164
30,US,Female,75 to 79 years,250302673.341544,0,12870.4745450438
30,US,Female,80 to 84 years,179458053.442622,0,9227.40039654822
30,US,Female,85 and over,210399761.950059,0,10817.8535331509
30,US,Female,Total,8288274404.70316,18008727742.5427,426239.251530552
30,US,Male,15 to 19 years,656281925.895792,1620163186.35473,33757.8275520347
30,US,Male,20 to 24 years,683075212.582965,1686267699.96435,35135.5436534865
30,US,Male,25 to 29 years,676079849.820987,1668955533.64764,34775.1885718477
30,US,Male,30 to 34 years,623057068.707515,1538021657.25174,32047.3337120138
30,US,Male,35 to 39 years,575709261.772021,1421100312.40475,29611.4089780535
30,US,Male,40 to 44 years,529499695.067583,1306992662.61687,27234.0697918311
30,US,Male,45 to 49 years,548314699.994161,1353387745.24619,28201.154073216
30,US,Male,50 to 54 years,552924257.40738,1364714757.45671,28437.5367459799
30,US,Male,55 to 59 years,536540939.550359,1324225556.42467,27594.1941123981
30,US,Male,60 to 64 years,455793690.279388,1124887808.8603,23440.7151066215
30,US,Male,65 to 69 years,378110034.452982,933125033.214626,19444.9860436578
30,US,Male,70 to 74 years,252873073.192406,0,13004.0341446627
30,US,Male,75 to 79 years,167971140.56288,0,8637.64752500225
30,US,Male,80 to 84 years,107592417.376401,0,5532.57094207202
30,US,Male,85 and over,93718857.8615708,0,4818.91449698831
30,US,Male,Total,6837542124.52439,15341841953.4426,351673.125449866
